air_temperature_2m,time
277.074127,1667354400.0
276.978943,1667358000.0
276.812988,1667361600.0
276.892059,1667365200.0
276.825897,1667368800.0
277.015778,1667372400.0
277.197418,1667376000.0
277.356079,1667379600.0
277.414307,1667383200.0
277.49118,1667386800.0
277.509338,1667390400.0
277.465454,1667394000.0
277.287781,1667397600.0
277.174988,1667401200.0
277.092957,1667404800.0
276.928467,1667408400.0
276.800751,1667412000.0
276.629608,1667415600.0
276.449127,1667419200.0
276.344757,1667422800.0
276.229126,1667426400.0
276.138672,1667430000.0
275.222382,1667433600.0
275.417053,1667437200.0
275.314148,1667440800.0
275.598236,1667444400.0
275.951996,1667448000.0
276.173706,1667451600.0
276.307037,1667455200.0
276.430328,1667458800.0
276.626465,1667462400.0
276.890839,1667466000.0
277.222382,1667469600.0
277.49649,1667473200.0
277.637573,1667476800.0
277.659363,1667480400.0
277.406677,1667484000.0
276.990356,1667487600.0
276.794189,1667491200.0
276.595428,1667494800.0
276.53241,1667498400.0
276.303467,1667502000.0
276.129028,1667505600.0
276.016144,1667509200.0
276.115784,1667512800.0
276.152405,1667516400.0
278.228577,1667520000.0
278.341705,1667523600.0
278.387665,1667527200.0
278.360229,1667530800.0
277.767181,1667534400.0
277.837311,1667538000.0
278.008789,1667541600.0
278.225922,1667545200.0
278.484436,1667548800.0
278.696503,1667552400.0
278.91568,1667556000.0
279.112396,1667559600.0
279.205719,1667563200.0
279.219757,1667566800.0
279.187683,1667570400.0
279.10321,1667574000.0
278.876923,1667577600.0
278.616882,1667581200.0
278.073242,1667584800.0
277.21698,1667588400.0
276.631744,1667592000.0
275.464172,1667595600.0
274.529877,1667599200.0
273.782898,1667602800.0
274.823853,1667606400.0
274.097229,1667610000.0
273.676086,1667613600.0
273.322205,1667617200.0
273.054199,1667620800.0
273.240051,1667624400.0
273.262634,1667628000.0
273.476044,1667631600.0
273.926331,1667635200.0
274.741211,1667638800.0
275.065674,1667642400.0
275.35437,1667646000.0
275.246399,1667649600.0
275.089722,1667653200.0
274.89917,1667656800.0
274.793091,1667660400.0
274.504059,1667664000.0
274.124207,1667667600.0
273.911072,1667671200.0
274.033447,1667674800.0
274.346375,1667678400.0
274.349365,1667682000.0
274.175964,1667685600.0
274.071899,1667689200.0
273.901489,1667692800.0
274.114563,1667696400.0
274.296082,1667700000.0
274.431091,1667703600.0
274.694458,1667707200.0
274.96582,1667710800.0
275.217255,1667714400.0
275.364685,1667718000.0
275.578857,1667721600.0
275.954224,1667725200.0
276.327789,1667728800.0
276.815918,1667732400.0
277.3125,1667736000.0
278.165009,1667739600.0
278.62323,1667743200.0
278.88446,1667746800.0
278.999146,1667750400.0
279.058289,1667754000.0
279.209229,1667757600.0
279.172516,1667761200.0
279.058563,1667764800.0
279.130676,1667768400.0
279.184509,1667772000.0
279.234314,1667775600.0
278.970398,1667779200.0
279.762207,1667782800.0
279.520264,1667786400.0
